dataset_id,LSE_kmeans,LSE_dbscan,LSE_agg,LSE_gmm,LSE_autoenc,LSE_dictlearn,best_method,gt_accuracy,dl2_k4_mean,dl2_k4_var,dl2_k4_sparsity,dl2_k4_l1_p10,dl2_k4_l1_p50,dl2_k4_l1_p90,dl2_k4_peak,dl2_k4_recon_mean,dl2_k4_recon_cv,dl2_k8_mean,dl2_k8_var,dl2_k8_sparsity,dl2_k8_l1_p10,dl2_k8_l1_p50,dl2_k8_l1_p90,dl2_k8_peak,dl2_k8_recon_mean,dl2_k8_recon_cv,dl2_k16_mean,dl2_k16_var,dl2_k16_sparsity,dl2_k16_l1_p10,dl2_k16_l1_p50,dl2_k16_l1_p90,dl2_k16_peak,dl2_k16_recon_mean,dl2_k16_recon_cv
44580,0.8271,0.8271,0.8737,0.8737,0.8737,0.8656,agg,0.3815,0.04147150462451783,3.1526058158240344,0.74625,0.0,1.2012498341706388,3.334519287785692,40.76322965771234,26.444876648394647,0.4696735185277211,0.036695467470102265,2.921247102636158,0.840703125,0.0,1.4038356893815407,3.902806727209523,46.26512643781072,26.29334485153369,0.4673508958111082,8.838989602076964e-05,2.7380168358007135,0.8828125,0.12164213897585974,1.9664233922869938,7.064712742416189,44.673522294478765,25.98972557497929,0.4638280696982193
1566,0.7957,0.7957,0.8236,0.7767,0.7957,0.8297,dictlearn,0.6088,0.07793494191943114,11.545245353402953,0.13209494324045407,2.0087551653666837,3.784995672201011,10.738265314992821,39.55176792155028,0.6026731015600507,0.4864473481323683,-0.11850230573043533,5.737409341567998,0.7089783281733746,2.006057427186332,3.776778509307958,10.743817178411355,31.2151330284725,0.5689116619002428,0.33879140250153267,0.2082999433666889,3.453759982346893,0.9000902992776058,2.006642155429122,3.7767586507902733,10.730265469891147,30.121962114041402,0.5287596152043718,0.16643743393293758
4153,0.7143,0.3429,0.6,0.6571,0.6857,0.5714,kmeans,0.9722,0.0056568505998162676,8.884877628755303,0.3350694444444444,4.670382666421192,6.846789226423901,10.296430352826128,12.940284299091415,3.0822394190903144,0.49672480691705573,-0.18434316440547827,4.7321887852302655,0.5416666666666666,5.231067885229126,7.110356546906029,11.646448655602747,10.084420778407239,2.5814448821144733,0.43352794197729044,0.08629508022985063,2.228359579321123,0.7105034722222222,5.527696108853269,7.209887366857698,12.330083421840522,8.78349783660647,1.9803840038089018,0.40280111575975397
44791,1.0054,1.032,1.0054,1.0054,0.9919,1.0027,dbscan,0.4973,0.07138478245009339,2.133144740013944,0.9715625,0.0,0.0,0.04984873474859335,53.059168044416666,4.5441433219593215,1.3114085681994339,0.08213678267585627,1.6846755619170306,0.969375,0.0,0.0,0.9508497671680807,44.255049194845036,4.3972152272401805,1.2758740801770734,0.06035604403829582,1.362013988608165,0.9725,0.0,0.0,3.538452096947365,37.17127902610886,4.128447707761955,1.208854107017446
44548,0.6187,0.9867,1.488,0.8987,0.5813,0.696,agg,0.5,0.0089323398387379,9.318221204769353,0.195,2.9954703761581136,7.910314898108124,13.628534794869166,14.474670007217219,4.2844929956943725,0.28936958478824426,-0.009545562946506015,4.334492453903351,0.37796875,4.23082094400145,8.937752729968519,15.907487838512235,10.254355403289379,3.6231910321562664,0.27576797907011397,0.01284596746943275,1.920766532195377,0.5786328125,5.158989369462221,9.18250431364936,16.30308057357225,9.825168929256861,3.119899340692305,0.22922978209724434
43974,0.5388,,,0.5651,0.5388,0.6967,dictlearn,0.9318,0.17594009590927645,11.258977509047345,0.5820319189013322,0.09306482676424094,0.856374937338888,2.5885875228298847,41.84176577625594,1.3889125636307198,0.8255910972321531,0.10235824469065666,5.681742047614788,0.7138557827322853,0.3343843526271468,1.1548516521649386,3.0138827530716634,26.126118517914634,1.0903137604810067,0.9376674468548443,0.04811707844647113,2.826607683405815,0.8357841878146511,0.43365823537548864,1.2116438978311814,2.9512925069530414,15.18357615414841,0.9550823134263338,1.06620415201016
14,0.6939,0.1195,0.6268,0.6385,0.6997,0.5219,autoenc,0.8575,0.031664726670515855,4.17578210959869,0.28515625,1.8018453352538444,4.9762580512854075,8.324249949689431,9.462293949475269,7.120442887394789,0.21232453367056373,0.08573220567772986,2.720120240072305,0.354921875,3.7922345588509616,7.24800134462078,10.964129995409195,8.003610948446855,6.534647920074426,0.20881019589503516,0.08312903245927344,1.7708833238235522,0.46828125,6.138676352924018,9.423819545201008,14.028925582154452,8.040103678208713,5.771320087770173,0.21138756189278143
1446,1.2115,1.0673,1.1346,1.2115,1.2308,1.0962,autoenc,0.5,0.13615986314350614,5.155587281459723,0.3940677966101695,1.6077843741724172,3.073285121620099,7.3565765626742845,17.93513926957342,2.6512798822061088,0.41808491601187797,0.05051683789343332,2.6649702946385148,0.5227754237288136,2.058480603352214,3.5203114669667093,8.287488445406348,14.157058508322326,2.172781997737006,0.33573128768368143,0.034959900755999064,1.4524405494561652,0.7092161016949152,2.3372170515691186,3.8100316669844636,8.476759240183666,10.842806022912185,1.6541783872741345,0.28550018227536583
40984,0.5681,0.4296,0.561,0.6948,0.5986,0.3826,gmm,0.9221,0.2380139320799577,2.205429288268757,0.5715638528138528,0.3612547358379173,2.295022064903942,5.126497878574871,11.871498159235546,1.6587695827667013,0.682728370513403,0.19194993224169674,1.2720010526445584,0.7399215367965368,0.5253995672483345,2.6816295076278527,5.208809297165994,10.43361097731291,1.1847765676523765,0.40329870911903354,-0.039680092016686694,0.6296769584114734,0.8635010822510822,0.755804085165258,2.7160408274517516,5.389712105182921,7.7326190786890825,0.8432304916942112,0.27325966870786295
44740,0.4982,0.4982,0.608,0.5473,0.5346,0.4104,agg,0.3488,0.01894089964782331,4.480791427092737,0.175625,2.654758748651987,5.684847723849416,9.618182168444063,9.671836314698561,8.602914131667314,0.1474115291389398,0.0039560861232158795,3.237845428785226,0.22171875,5.893781740260826,9.623233594842294,13.832440017523007,7.428532176683631,7.836390924699688,0.16756265270870982,-0.0027350264350712926,2.107781243645574,0.2990234375,10.530357814399505,14.38801337682246,19.281400273649943,6.574134989625731,6.867939228968542,0.17867925113050293
