dataset_id,LSE_kmeans,LSE_dbscan,LSE_agg,LSE_gmm,LSE_autoenc,LSE_dictlearn,best_method,gt_accuracy,dl_mean_0,dl_mean_1,dl_mean_2,dl_mean_3,dl_mean_4,dl_mean_5,dl_mean_6,dl_mean_7,dl_mean_8,dl_mean_9,dl_var_0,dl_var_1,dl_var_2,dl_var_3,dl_var_4,dl_var_5,dl_var_6,dl_var_7,dl_var_8,dl_var_9,dl_mean_10,dl_mean_11,dl_mean_12,dl_mean_13,dl_mean_14,dl_mean_15,dl_mean_16,dl_mean_17,dl_mean_18,dl_mean_19,dl_var_10,dl_var_11,dl_var_12,dl_var_13,dl_var_14,dl_var_15,dl_var_16,dl_var_17,dl_var_18,dl_var_19
46505,0.8039,0.8137,0.7549,0.7549,0.8235,0.8235,autoenc,0.7083,0.0757320105504491,0.0894928135589892,0.0779953833926493,0.1036657159937563,0.0402503937526765,-0.0026637080478862,0.0697561724865539,0.0915846720879944,,,0.3887555320720794,0.6581560454335493,0.5311268996896507,0.3896641502315688,0.9299340692189524,0.4462053357752304,0.8061560355127946,0.7635105206824947,,,,,,,,,,,,,,,,,,,,,,
44634,0.5543,0.4429,0.6033,0.712,0.6168,0.4674,gmm,0.92,-0.061150296671382,0.0877919458753573,0.3526014494761886,0.1843238412453479,0.0860087136963596,0.3037364800008406,-0.0747910473503291,-0.0413975691410308,0.3025539187025783,0.0673488577027915,0.3937079629706689,1.2999532272308556,0.8088859428911483,0.319178162767571,0.3703965458607285,0.5353570189961736,0.1673041641844631,0.1893392513797566,0.6199911560351797,0.6456704737006934,0.0769785711479499,0.0665022339044109,0.0547039469411984,0.4214489524775427,,,,,,,0.1694925125959751,0.2164535816054806,0.1549667882320317,1.509833544064856,,,,,,
46566,1.0109,1.0109,1.0273,1.0546,1.0164,0.8743,gmm,0.3631,0.1420226443800274,0.0321702305691318,0.2822539153496965,-0.0762180002009503,0.1007087742201963,0.0651176855600043,0.1556832966371498,0.1273633882758945,,,0.915963719838117,0.8600107801803458,0.9308682919027308,0.8435122162827609,0.8897150418624434,0.9726561905630764,0.4170003283864041,1.0882060963902047,,,,,,,,,,,,,,,,,,,,,,
40997,0.4464,0.7242,0.4753,0.5719,0.5848,0.4303,dbscan,0.9904,-0.0182384534869188,-0.2790318392787502,0.2727170381987298,0.2736195201315059,0.1261508472191967,0.2900285504280639,-0.2708370175080781,0.2643423456561989,,,1.2865267442124289,0.8611335110208103,0.8584206606338214,0.8411483053767694,0.2368567517533158,0.7117176511489368,0.773280533093278,0.9049029022902528,,,,,,,,,,,,,,,,,,,,,,
62,1.0,1.0,1.0,1.0,1.0,0.5,kmeans,0.7619,0.0096311422693785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1186081164424684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,
1529,0.2926,1.0222,0.3667,0.2852,0.2926,0.2407,dbscan,0.8852,0.0565638847335316,0.0441777852320853,0.0352529011196254,-0.0154634849285841,-0.0288955625341732,-0.0350014929165576,-0.03490886540536,0.0094980473938073,0.0399130658221105,-0.0345325051644566,0.0838294292480173,0.0669384577042623,0.0487027528461505,0.0263500541620494,0.0506454869481099,0.0629554610371149,0.0522360539609858,0.0245088280467005,0.0714363191205239,0.0495358341400131,,,,,,,,,,,,,,,,,,,,
1539,0.2376,0.9856,0.3176,0.2434,0.2733,0.4194,dbscan,0.9471,-0.0085995923354334,-0.0236957657174479,0.0416745563804242,-0.0436422802438468,-0.006736436905371,0.0203426025405006,-0.041133961382924,-0.0067489088834631,0.0266643751414118,0.0270601302658554,0.0265311697628768,0.066528160267659,0.0560489940990239,0.0596985829136851,0.0321934958987554,0.0534759459139842,0.0588984389904285,0.0363869821767274,0.054618628721574,0.0627345737953334,,,,,,,,,,,,,,,,,,,,
1500,1.0263,0.7368,1.0,0.9474,1.0263,0.7368,kmeans,0.9048,0.054576494967239,0.0264934707293201,0.0472047568941648,-0.0516838983861965,0.1783898755042806,0.0676600997626258,0.170225629148297,0.0273676286467988,,,0.4242460890228398,0.0617969081600872,0.0978384899427448,0.2485604532696925,0.3540243903798957,0.0754677081888906,0.5368437911297784,0.2932071583278254,,,,,,,,,,,,,,,,,,,,,,
1533,0.2445,0.9925,0.4266,0.263,0.2954,0.4217,dbscan,0.9644,-0.0055448210741781,-0.0405963665321157,0.0238922573060234,0.021861455857084,-0.012108292151376,0.0242527523742458,-0.0418042768467367,0.0083952526444721,-0.0248224758312388,0.0371514284437519,0.0270477637085037,0.0842371152198685,0.0522688343120626,0.0573355149739671,0.0240453965741399,0.0644906609353977,0.0876533856642916,0.0222553065273439,0.0676972839036474,0.0642730251657419,,,,,,,,,,,,,,,,,,,,
1523,0.5686,0.4902,0.5882,0.9608,0.6078,0.5098,gmm,0.8226,-0.0150296759888794,-0.0332811454396366,-0.022535037820024,0.0536826722605701,0.106039505736779,-0.0037870791336205,-0.0055559008382923,-0.0292568309666099,,,0.2898144558896056,0.0498008177678036,0.1254294351218817,0.5022392218784975,0.2427417225465341,0.15280507743287,0.1598434627073435,0.3412464548706851,,,,,,,,,,,,,,,,,,,,,,
22,0.4667,0.1433,0.64,0.5967,0.6033,0.6067,agg,0.75,-0.3201895285848466,0.251438489988212,0.2184971039504638,0.2174759105714198,-0.1467784095231057,0.1252712738331353,0.1978140058359538,0.1361018770985576,-0.2525883920864037,0.1039723717391728,1.4252364341285195,1.0229567152736418,1.0380774064064722,1.0138421241501272,0.615704847898706,0.6032077166895109,0.544179358411617,0.5608273609327512,1.1232910798122506,0.4069723825866788,0.1645374150641158,0.1634625867736547,0.1267348056761345,0.1720496032029584,0.1872247892831977,0.262955267970816,0.1489523638543036,-0.0548080683054189,-0.1410679474439599,-0.1829325847447324,0.9140904981483818,1.2429659997622802,0.6357904187580982,0.7122620131341452,0.8432517570976402,1.353365421832625,0.9099378054502332,0.8523234893927016,0.4670795889712766,0.8382956919466092
45688,0.8333,1.0,0.8333,0.75,0.9167,0.9167,dbscan,0.3871,0.0695453186323312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.1394712883404863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
46745,0.6688,0.4347,0.7225,0.612,0.7252,0.609,autoenc,1.0,-0.1557296964871233,0.1587530648652968,0.2071445731542266,0.2342974637658494,0.115019599988919,0.0519074252692504,0.1257936345528013,0.1525789830133683,0.09015878887629,-0.1773713093305033,0.4120747957029347,0.4397617214735977,0.4563935951315636,1.000827771931803,0.2195707866842416,0.1083487694996598,0.2682765148174729,0.529834987139399,0.46929138348858,0.6712602696816481,0.1964395961266038,-0.1771538339073042,,,,,,,,,0.3100153672162138,0.5440339834192023,,,,,,,,
40498,0.4009,0.6532,0.3664,0.4715,0.461,0.4129,dbscan,0.6796,-0.0374310287382166,-0.0213816990375748,0.0343095035104129,0.1106356897007485,-0.0458031908474621,0.0452384056180972,0.1020503577101768,0.0822085231220223,-0.0035598963069382,-0.0582055974647337,0.2007677960798683,0.1684653980355498,0.1502710238706043,0.5193570858210607,0.1747853396930616,0.1933693384503785,0.2356944480252017,0.1713531602385272,0.1344860277789555,0.1429883300590146,0.0928832754318062,0.0616687403997914,0.0261969129361973,0.049981170218424,,,,,,,0.2011666516337245,0.1829780220550343,0.2574828256730025,0.1844695695326275,,,,,,
40475,0.7039,0.9106,0.5056,0.6872,0.7514,0.662,dbscan,0.6393,0.0188148632141497,-0.0112955156819223,-0.0036238709717212,0.0877248433552357,0.0431576054593245,-0.0408228025330983,0.0110103466966347,-0.0357570267397805,-0.0112134165636464,-0.0133871119415287,0.1771326636138294,0.080814197062739,0.0614278221494149,0.8460219784805426,0.3943164949082619,0.1617995656972236,0.1786125986928959,0.1286362404830396,0.1310341292161422,0.092875442901266,,,,,,,,,,,,,,,,,,,,
11,0.7113,0.5979,0.5979,0.7732,0.4948,0.5155,gmm,0.776,0.0052691866946292,0.0078628766379082,0.0046443848261329,-0.0002334797245973,0.000157227023567,-0.0046268434707059,0.0023612724966011,-0.0054317723461821,,,0.0935560981375584,0.0972730900575944,0.089720340437416,0.0849291918473431,0.0809127107839163,0.0988959568333577,0.0895804790183602,0.0998982677726735,,,,,,,,,,,,,,,,,,,,,,
