dataset_id,LSE_kmeans,LSE_dbscan,LSE_agg,LSE_gmm,LSE_autoenc,LSE_dictlearn,best_method,gt_accuracy,n_instances_x,n_features_x,n_classes_x,skewness_mean_x,kurtosis_mean_x,mean_abs_pearson_x,class_entropy_x,imbalance_ratio_x,hopkins_x,intrinsic_dim_ratio_x,pca_var_pc1_x,inter_intra_ratio_x,silhouette_true_x,davies_bouldin_true_x,knn1_accuracy_x,decision_stump_accuracy_x,feature_sparsity_x,cv_mean_x,n_instances_y,n_features_y,n_classes_y,skewness_mean_y,kurtosis_mean_y,mean_abs_pearson_y,class_entropy_y,imbalance_ratio_y,hopkins_y,intrinsic_dim_ratio_y,pca_var_pc1_y,inter_intra_ratio_y,silhouette_true_y,davies_bouldin_true_y,knn1_accuracy_y,decision_stump_accuracy_y,feature_sparsity_y,cv_mean_y
46505,0.8039,0.8137,0.7549,0.7549,0.8235,0.8235,autoenc,0.7083,575.0,10.0,4.0,8.022662644931389,132.83677841221265,0.0658582061749814,0.7788021823489437,9.542857142857144,0.9999999999878504,0.9,0.1613541957487607,1.4502558251675963,0.0214828976678687,6.943434189371664,0.5791933760683761,0.5808809246309247,0.02,3.0510534289227804,575.0,10.0,4.0,8.022662644931389,132.83677841221265,0.0658582061749814,0.7788021823489437,9.542857142857144,0.9999999999878504,0.9,0.1613541957487607,1.4502558251675963,0.0214828976678687,6.943434189371664,0.5791933760683761,0.5808809246309247,0.02,3.0510534289227804
44634,0.5543,0.4429,0.6033,0.712,0.6168,0.4674,gmm,0.92,1600.0,16.0,7.0,3.5721857982063883,34.74590962498177,0.3134818420108011,0.9999987952952156,1.0043859649122806,0.9999996351977016,0.5,0.4607421840618511,4.392929892506073,0.1866174781705535,2.9520080143803464,0.8975,0.285625,0.005,2.2123019437939995,1600.0,16.0,7.0,3.5721857982063883,34.74590962498177,0.3134818420108011,0.9999987952952156,1.0043859649122806,0.9999996351977016,0.5,0.4607421840618511,4.392929892506073,0.1866174781705535,2.9520080143803464,0.8975,0.285625,0.005,2.2123019437939995
46566,1.0109,1.0109,1.0273,1.0546,1.0164,0.8743,gmm,0.3631,2012.0,22.0,3.0,0.6006856432166846,1.763576575411245,0.3944631130413025,0.996037247760313,1.2199036918138042,0.999999999999986,0.3181818181818182,0.5590396607686104,0.7354712242812392,-0.0192889784656487,19.283717356122352,0.3374810003633101,0.3836866338946104,0.0130806072654979,1.142218211464605,2012.0,22.0,3.0,0.6006856432166846,1.763576575411245,0.3944631130413025,0.996037247760313,1.2199036918138042,0.999999999999986,0.3181818181818182,0.5590396607686104,0.7354712242812392,-0.0192889784656487,19.283717356122352,0.3374810003633101,0.3836866338946104,0.0130806072654979,1.142218211464605
40997,0.4464,0.7242,0.4753,0.5719,0.5848,0.4303,dbscan,0.9904,3763.0,20.0,3.0,0.2618244246517798,1.0048034858022246,0.1836533374260048,0.7317046105677613,17.396551724137932,0.9999999999997652,0.5,0.2417153671745561,2.238062267741681,0.0639356151042954,4.237352531016989,0.9085813047649912,0.7448818230533475,0.0132739835237842,0.7370503214217727,3763.0,20.0,3.0,0.2618244246517798,1.0048034858022246,0.1836533374260048,0.7317046105677613,17.396551724137932,0.9999999999997652,0.5,0.2417153671745561,2.238062267741681,0.0639356151042954,4.237352531016989,0.9085813047649912,0.7448818230533475,0.0132739835237842,0.7370503214217727
62,1.0,1.0,1.0,1.0,1.0,0.5,kmeans,0.7619,80.0,1.0,7.0,0.268460942583112,0.5208397647311762,0.0,0.8451251421074032,11.0,1.0,1.0,1.0,2.6029797216447843,-0.1157894736842105,55.83102453540198,0.2625,0.5,0.0,0.754248970041915,80.0,1.0,7.0,0.268460942583112,0.5208397647311762,0.0,0.8451251421074032,11.0,1.0,1.0,1.0,2.6029797216447843,-0.1157894736842105,55.83102453540198,0.2625,0.5,0.0,0.754248970041915
1529,0.2926,1.0222,0.3667,0.2852,0.2926,0.2407,dbscan,0.8852,1216.0,3.0,5.0,0.5453826093049601,1.6218504377420755,0.0511150444797372,0.2861304153265595,47.60869565217392,0.7904617683098097,1.0,0.3686593048279928,0.9765593268912612,0.1972777285947042,7.708765315257368,0.884055184510558,0.901322269446131,0.0060307017543859,0.453216888667929,1216.0,3.0,5.0,0.5453826093049601,1.6218504377420755,0.0511150444797372,0.2861304153265595,47.60869565217392,0.7904617683098097,1.0,0.3686593048279928,0.9765593268912612,0.1972777285947042,7.708765315257368,0.884055184510558,0.901322269446131,0.0060307017543859,0.453216888667929
1539,0.2376,0.9856,0.3176,0.2434,0.2733,0.4194,dbscan,0.9471,7337.0,3.0,5.0,0.4274473567304679,1.290837273696946,0.0094508203435199,0.1743990712423506,154.11111111111111,0.9983973200239008,1.0,0.3397415320433674,0.8041192288195566,0.0696798810820346,9.604886145470406,0.9089546777515884,0.9452093189125336,0.0058152741810912,0.446500651235333,7337.0,3.0,5.0,0.4274473567304679,1.290837273696946,0.0094508203435199,0.1743990712423506,154.11111111111111,0.9983973200239008,1.0,0.3397415320433674,0.8041192288195566,0.0696798810820346,9.604886145470406,0.9089546777515884,0.9452093189125336,0.0058152741810912,0.446500651235333
1500,1.0263,0.7368,1.0,0.9474,1.0263,0.7368,kmeans,0.9048,168.0,7.0,3.0,0.443948379652325,0.7148498904472981,0.6184995198044732,0.9999999999972692,1.0,0.9997939407470754,0.4285714285714285,0.7209637139254349,5.035430764973733,0.3757311230095485,0.940746637495668,0.9226190476190478,0.6369047619047619,0.0068027210884353,0.1441376821327793,168.0,7.0,3.0,0.443948379652325,0.7148498904472981,0.6184995198044732,0.9999999999972692,1.0,0.9997939407470754,0.4285714285714285,0.7209637139254349,5.035430764973733,0.3757311230095485,0.940746637495668,0.9226190476190478,0.6369047619047619,0.0068027210884353,0.1441376821327793
1533,0.2445,0.9925,0.4266,0.263,0.2954,0.4217,dbscan,0.9644,8308.0,3.0,5.0,0.5351996238801608,3.4998339125854785,0.0162879202876271,0.1235707290514185,400.2,0.9994210260165938,1.0,0.3447431348697768,0.9669634094688058,0.2427772521717246,9.241080358579712,0.9463171171876076,0.9624456726878609,0.0069411009468785,0.418948808792852,8308.0,3.0,5.0,0.5351996238801608,3.4998339125854785,0.0162879202876271,0.1235707290514185,400.2,0.9994210260165938,1.0,0.3447431348697768,0.9669634094688058,0.2427772521717246,9.241080358579712,0.9463171171876076,0.9624456726878609,0.0069411009468785,0.418948808792852
1523,0.5686,0.4902,0.5882,0.9608,0.6078,0.5098,gmm,0.8226,248.0,6.0,3.0,1.1595250548195697,6.919060591572644,0.3970857373511073,0.9412590806384294,2.5,0.9999465448091732,0.8333333333333334,0.5333753898282398,2.7100170604811487,0.0924377445398466,2.0178184170501985,0.7984621412479185,0.7740718973454795,0.0080645161290322,0.5161036737758692,248.0,6.0,3.0,1.1595250548195697,6.919060591572644,0.3970857373511073,0.9412590806384294,2.5,0.9999465448091732,0.8333333333333334,0.5333753898282398,2.7100170604811487,0.0924377445398466,2.0178184170501985,0.7984621412479185,0.7740718973454795,0.0080645161290322,0.5161036737758692
