dataset_id,LSE_kmeans,LSE_dbscan,LSE_agg,LSE_gmm,LSE_autoenc,LSE_dictlearn,best_method,gt_accuracy,n_instances,n_features,n_classes,skewness_mean,kurtosis_mean,mean_abs_pearson,hopkins,intrinsic_dim_ratio,pca_var_pc1,pca_top3_var,pca_entropy,pairwise_dist_mean,pairwise_dist_cv,pairwise_dist_p90,knn5_dist_mean,knn5_dist_cv,knn5_dist_p90,feature_sparsity,high_corr_frac,corr_dispersion,dl_mean_0,dl_mean_1,dl_mean_2,dl_mean_3,dl_var_0,dl_var_1,dl_var_2,dl_var_3
40984,0.5681,0.4296,0.561,0.6948,0.5986,0.3826,gmm,0.9221,1848.0,16.0,7.0,3.960305572093653,48.13570709227936,0.3058478560656764,0.9999999999634576,0.5,0.4585777788019757,0.7348074604113424,0.632227439769758,4.932648786994775,0.6173899714991813,8.24987599982414,0.6041681120136584,1.9032156314169264,1.002159301777236,0.0065273268398268,0.1583333333333333,0.3465538806840053,0.2977524783248478,0.1860923214577475,0.2795705068725772,0.1972960863763409,3.29476596850836,2.0840465248865,0.9718948883920456,0.3539459293166202
44740,0.4982,0.4982,0.608,0.5473,0.5346,0.4104,agg,0.3488,1600.0,100.0,10.0,0.6189855907699333,0.5763611091114889,0.0768830894892297,0.9999999999896776,0.71,0.090939678970319,0.2100021433589906,0.8712249992290553,14.010476873314232,0.1237998021574084,16.217054211036903,10.118112708617971,0.103327266157965,11.473651391545449,0.0055,0.001010101010101,0.1156593018403196,0.0229341474483508,0.0391844575689877,0.0295985643880222,0.0434164687575824,3.529918557891392,3.694978700050133,2.7145655549833028,2.7891604036290247
32,0.6915,0.3077,,0.8228,0.6883,0.5732,gmm,0.9891,8793.0,16.0,10.0,0.5097057175059504,1.0249047886379703,0.2714807949825559,0.9999999951809688,0.625,0.2951815792354544,0.6577000882730097,0.7483124492035984,5.4867358962790185,0.2777849932242888,7.431262605663684,0.964106038795361,0.3663040914011709,1.4307232211820495,0.007719208461276,0.0083333333333333,0.2033578824851267,-0.0273314557915017,0.1502281647445685,0.0174090647067701,-0.0098391748104617,1.3010135408921149,1.424675701966135,1.1582784183928498,0.6082020616703352
44153,0.529,0.3471,0.5264,0.5201,0.5128,0.4681,kmeans,0.7367,676.0,18.0,4.0,1.0880864485930808,5.631487126873716,0.4061152993244931,0.9999999999998646,0.3888888888888889,0.5224337573544181,0.7983733243104617,0.5467881900657449,5.493178299611066,0.4413703130852408,8.574209624142734,1.70396663237761,0.3436885852323357,2.085365962716136,0.0016436554898093,0.196078431372549,0.3403679912867395,0.1305832103778045,0.1502692169229205,0.1298783444250357,-0.0404011444185817,1.7988960477755878,1.5624221088573107,1.5051953100504905,2.0072757929822087
1476,0.3535,0.2736,,0.4293,0.3509,0.3853,gmm,0.9946,11128.0,128.0,6.0,11.571604046826348,822.6636309402086,0.4946771984745099,1.0,0.09375,0.5389750304077808,0.7509506208368986,0.3756991238408618,12.73491037296791,0.754087045005745,22.689715788633688,1.157852879836381,3.566377730459559,1.9613278567063368,0.0156341267523364,0.1520669291338582,0.2701794436109119,-0.024811829022183,0.0811169299392541,-0.0996982378875492,0.3380117837438885,47.193082471784045,7.601477831336025,13.461659395099664,9.49483401312628
1520,0.2857,0.2857,0.2857,0.2857,0.2857,0.5,dictlearn,0.7,131.0,90.0,5.0,3.705637944128851,29.559116504067127,0.1952978437359493,0.9999999999999724,0.2333333333333333,0.1806262170801804,0.4251895707724882,0.6277903919096904,9.643744796128802,0.9748508454655572,25.79517169514921,5.439173313740985,1.3715000048718462,15.708553873222105,0.0282442748091603,0.0162297128589263,0.2005622106499976,0.5482723033273693,0.2235613111341034,0.3560044147223422,0.2263384407581908,12.122532635882587,8.754938773640282,8.592342215894863,9.042733576923885
44588,0.4256,0.5605,0.5601,0.484,0.659,0.5119,autoenc,0.6443,588.0,91.0,5.0,4.866890443163574,40.9541094582704,0.0848542594882447,1.0,0.4395604395604395,0.0711523420307732,0.1951843332094446,0.7923500949081396,13.078941470161682,0.2564658530547062,15.89479662556326,5.867835699674645,0.5053060701664587,9.324539852115809,0.0041302235179786,0.0136752136752136,0.1347468764042818,0.2005541026067802,0.2333382298086443,0.3271562005797153,-0.3190764675431168,3.902148076648405,3.602482856211048,3.762626124366685,2.7500804749429806
44667,0.4974,0.4803,0.5307,0.6411,0.4453,0.4478,gmm,0.3997,1600.0,51.0,6.0,5.807244769359153,111.70308795282736,0.2448690157718968,1.0,0.4117647058823529,0.2982090271382096,0.4857640548169688,0.6796792990833594,8.543973093904556,0.635212516920951,13.833044101821034,2.0244377096184394,1.4680147996781892,5.0535789171971945,0.0131740196078431,0.0274509803921568,0.2180284875885607,0.2312958627105691,-0.283747610541088,0.0541400528168612,0.0652919779687503,8.253187318909815,5.09222777856615,2.867973159496239,2.728944603046071
47000,0.6176,0.5578,0.7468,0.6192,0.5425,0.7048,agg,0.5693,623.0,1569.0,3.0,,,,,0.3766730401529636,0.0036980523503119,0.0101151843137368,0.9993023597157754,50.179887293496,0.0028680044335115,50.34462784099138,49.98454051229375,0.0007151490722114,50.01339902510882,0.1988681179391644,0.0005072774807819,0.0229285430752378,0.0667625938597183,-0.0705210179135433,-0.0748192375375918,0.129625648835296,2.239808611816469,1.994775243040043,1.962050460921277,2.0944115710121767
1497,0.4876,0.2565,0.4636,0.4222,0.4579,0.439,kmeans,0.9877,4364.0,24.0,4.0,1.5182658126610924,3.2386013710563937,0.1704933940230415,0.9998111688113096,0.875,0.19079344829859,0.4086308923688119,0.890116963035246,6.718320119424643,0.239648740248129,8.87292245885927,1.7921669293003522,0.5844987240551642,3.247780840373016,0.0060819584479071,0.0,0.1199694567257479,0.2813551628922263,0.109054039182305,-0.0913219437444971,-0.0212787033201634,1.4698753597990994,1.263005562552425,0.719531982752337,0.7465709125551941
