class,dataset_id,true_method,n_instances,n_features,n_classes,skewness_mean,kurtosis_mean,mean_abs_pearson,hopkins,intrinsic_dim_ratio,pca_var_pc1,pca_top3_var,pca_entropy,pairwise_dist_mean,pairwise_dist_cv,pairwise_dist_p90,knn5_dist_mean,knn5_dist_cv,knn5_dist_p90,feature_sparsity,high_corr_frac,corr_dispersion
agg,44232,gmm,0.01824535154615588,0.0424557636805788,0.01503629155996357,-0.00024300341767483736,-0.0019134643539629392,-0.0005618571914726415,0.0012204030278300693,-0.0036954914350753884,0.044825271917415005,0.03907648978961171,0.014600452015325904,0.03647752159954939,0.023985399178012214,0.0494029269211543,0.017701421928308834,0.00955408352632166,0.040897264852650696,-3.040702368665715e-06,0.006397403826356726,0.025853378885722353
agg,42544,kmeans,-0.003182716434873134,-0.008537492884373558,-0.007690517346392512,-0.009514738154429658,-0.007914889822721392,-0.0037373308496319946,0.0005064090324466155,0.004964998139403899,-0.00589438381066415,-0.004151485649596972,-0.003951436628947664,-0.0063602023312987165,-0.002346575709449784,-0.016658941098707778,-0.01449112580617321,-0.0006172354373364329,-0.03259193201883747,0.000722262652473095,-0.0036762960309779363,-0.0027917287197596814
agg,46745,autoenc,-0.0014950491805234703,-0.011321253085189645,-0.00840994664665952,0.005002798415088243,0.003959524845782303,-0.006854180071487671,0.0008414399996652569,-0.0030680277378347513,-0.005564620386486984,-0.0020891222776847056,-0.007556675783155452,-0.006520514429422061,0.0036331018641133374,-0.01793165319814446,-0.02925939656985128,-8.705571404538586e-05,-0.036764079502666656,-0.01888981211292016,-0.006638140869496766,-0.0055545426676933156
agg,1044,gmm,0.013301048867214262,-0.0002692423909548098,-0.006604392486179822,-0.011972406440555618,-0.01191127991724913,0.001615639885225592,0.002520115667893495,0.005838077382002811,0.00041558244431737603,0.0017561960827781075,-0.0011005155649490236,-0.004675117018065863,0.0101399230138418,-0.007015837429351831,0.0030858705867007345,-0.0013216603743475771,0.02405440982947627,-0.00043522975590061486,-0.007581134645428163,0.0024512527948858417
agg,46560,kmeans,0.006412152855828717,-0.00650186920848955,-0.01445537136715155,-0.012757820663497964,-0.010394222228969232,-0.006872758487981725,0.0016498358220298649,0.001486222421561259,-0.01064594759517399,-0.016362337714480046,-0.010808959080574753,-0.005359387275784225,-0.0017496383810484037,-0.015717058152454673,0.0015612392890026292,0.0019309018760445256,0.013053639250183331,0.006620380276808949,0.00615966428250502,0.0002845322609485926
agg,46331,kmeans,-0.012596249659403522,-0.009109509807825319,-0.008161132136887203,-0.007363016642826131,-0.008819412324668506,-0.006426070972521751,0.000547180656626847,-0.00514888466875731,-0.002084894380009556,-0.002537773306683583,-0.0072299604696146975,-0.006068559861783755,-0.004316947811027376,-0.004552753554219973,0.00390959792968206,-0.002641746101438246,0.0009320266872041396,-0.025166000992127825,-0.006088343410913911,-0.003692693289976536
agg,40994,kmeans,-0.012629084589791341,-0.009008893985782614,-0.015448249965180204,0.00794806103498686,0.0029187517727560877,-0.006111295372010455,-0.0070645291003608186,-0.001992221149294281,-0.01657496486822458,-0.017458937990031387,-0.001249698630892839,-0.002737251513045472,-0.0001265644677150463,-0.015389389981000047,0.004516471792229656,-0.004575683212875344,0.012480301826506958,-0.002864548649592467,0.005749931235079,-0.004195076969764649
agg,60,agg,0.034694739426355724,0.014349100289456448,0.004750727543207628,0.028732155489406556,0.026475054485259022,0.010097452105639799,0.004798614093934808,0.007837339876248841,0.021665121322595696,0.017625265648353112,0.012617250880541582,0.007304572155697675,0.022616241887308215,0.01376494246806989,0.02005854510583142,0.020144370354279476,0.03439599544183277,0.0048353737396450245,0.020607005530781236,0.014685977241205845
agg,44463,agg,0.03162792382852404,0.014657618677787063,0.021140978060104575,0.0007020553742129133,0.0015010062853934969,0.0005586700808554596,0.002122526573138773,0.016120326364124322,0.019038586674532225,0.014634069991004011,0.009467775471963915,0.009154153620659723,0.03992187890463352,0.02704210469624201,0.01952288592114527,0.018032636891800936,0.024097665971384276,0.008038125154628057,0.005106265502692891,0.027728259231104876
agg,1559,autoenc,-0.008817140409159681,-0.006505174604545191,-0.017085119274270318,0.011986709308599503,0.0076597327271815145,-0.007676804629321439,-0.002270387122755239,0.004881454645406758,0.002528671769185933,0.007041069699402284,-0.00017845379536470045,-0.0003483593080847992,0.0033034481127093437,-0.009121047298927277,0.008693975841464514,0.007736880237074258,-0.012715875235730326,0.0027967603499229545,0.008721693892037448,0.00845858867399286
agg,46840,agg,0.02854250569479889,0.012336836878498682,0.019595158864548785,0.0021964162817569343,0.005394918389695226,0.013342265436037995,0.0030769338601479316,0.017795559814565102,0.02524832354479636,0.017717406332368565,0.010557902589825904,0.004411023477719122,0.03523028387851496,0.018567028775650973,0.030255886280144702,0.020225801888371857,0.04195638569222314,0.05490404553913762,-0.001741558860940144,0.023181021728371144
agg,1519,kmeans,-0.021918085211518036,-0.007662241727331099,0.01069467006204162,-0.006155145462671268,-0.008340795396230128,-0.0036063189047708345,0.0010440431057819103,-0.010013372920790239,-0.001669405878136109,-0.0008924536640983471,-0.005479523374801259,-0.003498361464088279,-0.003825804255166268,0.002828237251374672,0.0056104838187827615,-0.0009352934780117338,-0.005424545219035918,-0.012027110667066604,-0.005957146458807648,-0.008870789410317137
agg,756,agg,0.0039899639603055235,0.0017576861123833228,0.022887712604402005,0.014134388580384712,0.020258287983023864,0.022459719404541747,0.00480083013959886,0.016539238705261687,0.02695872500165258,0.039728806346997804,0.009902049688372673,0.0040487117150615004,0.0392471865933802,0.0029270004817736287,0.023521586425641745,0.013309985760522156,0.055474864657235654,0.0350903224528784,0.02255727616810123,0.022805535146332594
agg,1477,gmm,0.006106816342297349,-0.0005161393403079706,-0.011645501102105741,-0.0071236780164462676,-0.0078028673560705504,0.0035058893924493394,0.0002707320132529736,-0.01018684644125475,-0.0028889832767931127,-0.00021377854468880605,-0.0031447305639730233,-0.0016502910357038465,-0.001759631339272206,0.004777220882666293,-0.023615052238453862,-0.02697283197650972,-0.026109147148402092,-0.014355856343434548,-0.00043586704717286007,-0.0029750744619646942
agg,1552,agg,0.024970783773938666,0.007288339034386186,0.032725541399605186,0.019965293652146616,0.018261259269426962,0.017122141745818466,0.004680737187916527,0.02039930473602517,0.024880470540496573,0.026806993136867924,0.01494724924405861,0.00674373848563515,0.02312443864480577,-0.0010545444159285925,0.022811855541209517,0.02556149206287281,0.04607882910740485,0.04807840431922571,0.0026805249376980153,0.02270368411614106
agg,44683,autoenc,0.02303195352876711,-0.00288704026608546,0.0032292620385514204,-0.005913271673313378,-0.0060489647352951125,-0.006513321358365218,0.00109486716658103,0.006985570537403333,-0.0016233407775829514,-0.0034509195158615945,0.0012106679329214696,-0.0021924887692853306,-0.008781488291997503,0.006226525317849746,0.0008759184079749781,0.002526880794871275,0.009271517667789147,-0.007719519040354078,-0.00452761329317744,-0.0004382721743602833
agg,44073,autoenc,0.0012552029668708928,-0.014864673295902481,0.015592712965208606,-0.003979224896112471,-0.004554741375032508,-0.002394038224675337,0.0012799593765212814,0.0037331793764508203,0.0008230400692591574,0.0023406871188715304,-0.004440454209563573,-0.009790564284271459,0.011315807510594212,-0.019390630641081295,-0.027384608637761203,0.001983082132739217,-0.0445104146506932,-0.009375058849455062,-0.001826433613554268,0.0011462555335145696
agg,44605,dbscan,-0.0005553623794005864,-0.009742031431742862,-0.007471419959551626,-0.0018731403188553416,-0.0023917479483362473,-0.002148415801049853,0.0005620868342050596,0.00034901800130027574,-0.01600522728144227,-0.018249095137746026,-0.007051477873058856,-0.009085142143050283,-0.02461136365330795,-0.004594231687365501,-0.0003186406076133847,-0.020525338531153573,-0.011149407601012316,-0.020695299532319297,0.0002911136397759827,-0.0029857493534950924
agg,41764,agg,0.02437642184383749,0.05507205693627807,0.018164878347240832,0.0001889719447772326,-0.0005269969173544809,-0.00012570100757855593,0.0010851856105702396,-0.0009431171299374997,0.07283553665160128,0.05430629692821083,0.03656279619322505,0.04447982023901308,0.03449249859216025,0.06565349111349067,0.022246179564353315,0.051315374632738435,0.05003631150501112,0.05131450405819977,0.026978936434896388,0.03551480542088603
agg,41671,gmm,0.0038496719227878785,-0.00673165956329492,-0.010450840508151593,-0.006129348047233857,-0.008175129248875864,-0.006612220601858714,0.0004816882189145409,0.002502495653265536,-0.005445540186989895,-0.0011749787038251597,-0.004927047340692593,-0.006790689388734154,-0.0036732718455576487,-0.013466635588304217,-0.026623743234427046,0.0007371797655225857,-0.03714614146104153,0.0054999870691358616,-0.0037513936562027206,-0.006077672097762261
agg,44580,agg,0.021666949640227633,0.04815946610879481,0.02076550678903019,7.767241563510797e-05,-0.00039182682570737754,-0.0003654577240930275,0.0011219646546165728,0.005681452076101426,0.05547000152873873,0.03330270594816905,-0.00188634548123441,0.03364511935734528,0.015358182953765892,0.052075046959519845,0.014624379391109575,0.0019197679958983015,0.04304671017841938,0.031594841510849965,0.0228989465541741,0.04074928493475594
agg,1566,dictlearn,0.005881334392131411,-0.005163903159845701,0.009015552405159404,-0.004756430455044069,-0.005054364372291065,-0.0010181316378569745,0.0009295799396500145,-0.009522555043554513,-0.011381898710933449,-0.008741328800494472,-0.00406259452358213,-0.0032797242678294525,-0.026592026217071723,-0.000835819896296612,-0.01895059482390428,-0.020781539238646136,-0.02637358594137394,0.0036116383238491657,-0.006274770184711557,0.009097198423131702
agg,4153,kmeans,-0.012211525054519739,0.0020774168167601507,-0.008746698052147965,0.01028770916532885,-0.0014132107254901027,0.005984215157308928,0.002026612858582229,-0.020796443277699823,-0.003941203074671315,-0.01366425354971003,-0.003541181280892104,-0.001451478213879916,0.014842671122637617,0.00238053039072651,0.012126998802472443,-0.00307047642215386,0.021811262923690136,0.0063496139734572936,-0.00010467737207047434,-0.011511649906770172
agg,44791,dbscan,0.013720212297709547,-0.008217598699812258,0.01297373328952315,-0.0010985127042675792,-0.0017982206759803172,-0.002583295205272653,0.0009579243282086048,0.004756976461830806,-0.019357267265042246,-0.019345808872919205,0.001554371997141814,-0.00824270088864097,-0.032708265807249434,-0.0005334866524935764,0.003839757910855895,-0.030346034423271058,0.0034380265127490883,-0.010792026968145728,0.0016864067402833965,-0.00138759316322051
agg,44548,agg,0.029969867601298113,0.014579355161146855,0.02976466676792941,0.016881269815101758,0.022985349512432644,0.02791365425948374,0.002415361560537967,-0.006046065770605729,0.026191764630985753,0.034827698432575965,0.008782222266572536,0.007912899935317933,0.03381921370562504,0.019071159802902974,0.025227694255206344,0.017891603279808578,0.04098599505657478,0.001265671322277169,0.016936586004721903,0.01576914046230345
