dataset_id,LSE_kmeans,LSE_dbscan,LSE_agg,LSE_gmm,LSE_autoenc,LSE_dictlearn,best_method,gt_accuracy,majority_accuracy,gt_lift_over_majority,n_instances,n_features,n_classes,skewness_mean,kurtosis_mean,mean_abs_pearson,hopkins,intrinsic_dim_ratio,pca_var_pc1,kmeans_est_imbalance_ratio,kmeans_largest_cluster_frac,kmeans_inertia_per_sample,kmeans_silhouette,kmeans_davies_bouldin,feature_sparsity,cv_mean
45035,0.790828,0.781213,0.758867,0.756788,0.756658,0.756918,kmeans,0.66063,0.500043,0.160587,46601.0,107.0,2.0,25.539714406437835,3192.9199358152296,0.012919031733870273,1.0,0.822429906542056,0.027641204997178714,2.982651055465345,0.7489109675758031,105.06698620108284,0.051300199001607476,5.718870938345722,0.07602079053696453,23.79599786304838
39,0.779661,0.813559,1.0,0.813559,0.762712,0.762712,agg,0.867647,0.426471,0.441176,268.0,7.0,8.0,3.3154148291736716,41.71928398902338,0.18392278227131886,0.7593069249206952,0.8571428571428571,0.3099087057739039,61.0,0.22761194029850745,1.618024137334299,0.2500617700695829,1.1098555059886672,0.0026652452025586353,0.2872604633526407
44033,0.645491,0.593057,0.560213,0.581245,0.55762,0.612648,kmeans,0.902144,0.500065,0.402079,30779.0,14.0,2.0,7.638291927906587,552.707609591739,0.11848197138916142,1.0,0.7857142857142857,0.1879491974138387,1.8024219247928617,0.6431657948601319,12.242108395302404,0.13982853201947137,2.370563776102041,0.03064241389073255,1.645817903270601
1527,0.263566,0.934884,0.330233,0.269767,0.283721,0.376744,dbscan,0.990783,0.907834,0.082949,2601.0,3.0,5.0,0.5371665585947772,1.584927253991012,0.04847169954644585,0.9451363221616232,1.0,0.37050894534663775,1.7552238805970148,0.22606689734717417,0.9616689345022265,0.32816493753135223,0.9389308611028288,0.006023324362424708,0.4517751551344187
44367,0.672897,0.623053,0.660436,0.660436,0.663551,0.626168,kmeans,0.8025,0.5,0.3025,1600.0,11.0,2.0,1.5090038927444114,11.640287782851736,0.23746248455605265,0.9999997660735146,0.8181818181818182,0.2604874199048784,2.6281179138321997,0.724375,9.067513984050525,0.19917582382535287,1.713274092713612,0.007045454545454546,0.3709022627678678
26,0.30129,0.481047,0.305979,0.277061,0.265338,0.228214,dbscan,0.987269,0.333333,0.653935,10368.0,27.0,5.0,0.9346304637903023,1.0586529095739672,0.041752280713138,0.9999999622058452,0.6666666666666666,0.07414107643788782,1.0228266148615832,0.203125,21.99844116364957,0.1165541075082875,2.658982935602017,0.0,1.5862055445703287
44505,0.573718,0.596154,0.50641,0.538462,0.442308,0.387821,dbscan,0.802057,0.347044,0.455013,1552.0,27.0,7.0,1.2817170952124133,5.334154380780435,0.2738740731100771,0.9999999999995646,0.4444444444444444,0.3505404027985771,10.941176470588236,0.23969072164948454,12.566507969461217,0.2160828775662103,1.481567273987355,0.004033027873234059,1.0679310835847198
44677,0.590426,0.617021,0.531915,0.585106,0.534574,0.577128,dbscan,0.94,0.5575,0.3825,1600.0,68.0,2.0,1.7124726263885826,4.214779121034958,0.11589533925720857,0.9999999999974942,0.4411764705882353,0.15649170484185088,4.47945205479452,0.8175,59.143958360308616,0.2422267730449072,2.106123700967402,0.0,1.6172298193314498
46543,0.649055,0.704589,0.649055,0.652526,0.649055,0.702275,dbscan,0.775651,0.50015,0.275501,13371.0,10.0,2.0,19.37715347283748,1203.8924329919257,0.13156206603077145,1.0,0.8,0.3039987227278816,174.93421052631578,0.9943160571385835,7.021204954233548,0.8772243493253902,0.13786610459276172,0.0010246054894921847,9.48954530955933
45028,0.60563,0.566822,0.575294,0.641159,0.614922,0.562449,gmm,0.8866,0.500121,0.386479,16507.0,8.0,2.0,18.694990000716256,1418.607852306174,0.13180139071484573,0.999999999999996,0.75,0.25310053132954347,1.3895483497394325,0.5815108741745926,6.280006152565725,0.3296029414218814,1.3398989226785334,0.024837947537408374,0.8069749102575028
734,0.768947,0.651372,0.794347,0.650143,0.732487,0.648914,agg,0.887636,0.576,0.311636,11000.0,40.0,2.0,9.330786094391371,1023.1111632882191,0.2258746772313273,1.0,0.45,0.41446856929178616,5.8493150684931505,0.854,28.807796291644685,0.4433156452166445,1.072565779720606,0.1097659090909091,56.967764675516335
44619,0.355224,0.692537,0.358209,0.280597,0.280597,0.435821,dbscan,0.968208,0.699422,0.268786,1382.0,21.0,4.0,0.9634538614163759,1.0206543945940123,0.05819237552706379,0.9999475127023292,0.7142857142857143,0.07443776188778868,1.0886850152905199,0.2575976845151954,16.993312687143796,0.12855061104583407,2.5343782500384853,0.0,1.596426904737277
46842,0.577143,0.674286,0.571429,0.674286,0.674286,0.468571,dbscan,0.862069,0.399015,0.463054,811.0,6.0,3.0,0.9792372306285184,2.5390223195306,0.29038014246008975,0.9996615083036013,0.8333333333333334,0.4426194034408128,2.629139072847682,0.48951911220715166,3.266035129104828,0.293546533077772,1.319731087512391,0.004932182490752158,0.21696628654595698
