dataset_id,LSE_kmeans,LSE_dbscan,LSE_agg,LSE_gmm,LSE_autoenc,LSE_dictlearn,best_method,gt_accuracy,majority_accuracy,gt_lift_over_majority,ae_mean_0,ae_mean_1,ae_mean_2,ae_mean_3,ae_mean_4,ae_mean_5,ae_mean_6,ae_mean_7,ae_mean_8,ae_mean_9,ae_var_0,ae_var_1,ae_var_2,ae_var_3,ae_var_4,ae_var_5,ae_var_6,ae_var_7,ae_var_8,ae_var_9,ae_mean_10,ae_mean_11,ae_mean_12,ae_mean_13,ae_mean_14,ae_mean_15,ae_mean_16,ae_mean_17,ae_mean_18,ae_mean_19,ae_var_10,ae_var_11,ae_var_12,ae_var_13,ae_var_14,ae_var_15,ae_var_16,ae_var_17,ae_var_18,ae_var_19
45035,0.790828,0.781213,0.758867,0.756788,0.756658,0.756918,kmeans,0.66063,0.500043,0.160587,0.2899888753890991,-0.014336428605020046,0.13845551013946533,-0.4321039617061615,0.017950797453522682,0.616676390171051,0.5597143173217773,-0.6671504974365234,,,15.318336486816406,11.929393768310547,9.814212799072266,20.95631980895996,10.81231689453125,7.791031360626221,11.628146171569824,16.8790283203125,,,,,,,,,,,,,,,,,,,,,,
39,0.779661,0.813559,1.0,0.813559,0.762712,0.762712,agg,0.867647,0.426471,0.441176,0.6477652788162231,-0.32782286405563354,0.3344879746437073,-1.00391685962677,-0.46404680609703064,0.5115619897842407,0.13391214609146118,-0.17598028481006622,1.3874484300613403,0.08505211770534515,0.9627197980880737,0.3679901659488678,1.0044186115264893,0.5801615118980408,0.46658119559288025,0.4924899935722351,0.9738342761993408,0.43015405535697937,0.6843108534812927,0.6193673014640808,-0.6085232496261597,-0.13882037997245789,-0.29779815673828125,-0.09493831545114517,-0.2963472604751587,0.34527096152305603,,,,,0.3801908493041992,0.6040049195289612,0.6228543519973755,0.7986271977424622,0.6768184304237366,0.9057019948959351,,,,
44033,0.645491,0.593057,0.560213,0.581245,0.55762,0.612648,kmeans,0.902144,0.500065,0.402079,-1.207929015159607,2.0724313259124756,-1.8868488073349,-0.047638457268476486,0.5155770182609558,0.41480815410614014,1.6565117835998535,1.103117823600769,,,3.2204430103302,4.472044944763184,7.1984124183654785,2.477191686630249,7.868441104888916,6.353128433227539,6.899580478668213,3.3339123725891113,,,,,,,,,,,,,,,,,,,,,,
1527,0.263566,0.934884,0.330233,0.269767,0.283721,0.376744,dbscan,0.990783,0.907834,0.082949,-0.3542741537094116,0.21643638610839844,-0.5396348834037781,0.016987750306725502,-0.6559481024742126,-0.4790986180305481,0.042248159646987915,-0.21555893123149872,0.22160604596138,0.30569878220558167,0.5133649706840515,0.28371596336364746,0.2782142460346222,0.6949669718742371,0.5471104979515076,0.25982803106307983,0.954692542552948,0.5195465683937073,0.3285452127456665,1.0790941715240479,,,,,,,,,,,,,,,,,,,,
44367,0.672897,0.623053,0.660436,0.660436,0.663551,0.626168,kmeans,0.8025,0.5,0.3025,-0.528606116771698,0.29566729068756104,-0.5740593075752258,-0.20143108069896698,0.3548799753189087,-1.3710299730300903,0.21876496076583862,1.1256015300750732,,,1.4399508237838745,1.5905598402023315,1.8697057962417603,1.8993453979492188,1.246978998184204,1.2104979753494263,1.7516611814498901,1.3899333477020264,,,,,,,,,,,,,,,,,,,,,,
26,0.30129,0.481047,0.305979,0.277061,0.265338,0.228214,dbscan,0.987269,0.333333,0.653935,-4.301713943481445,1.1945773363113403,-6.450944423675537,0.5433979034423828,-0.40295344591140747,4.361632347106934,-1.0787736177444458,-4.378802299499512,-0.4916263222694397,0.3487788140773773,6.006723880767822,12.654899597167969,5.536051273345947,4.575332164764404,4.7674241065979,12.23400592803955,9.556732177734375,7.191028594970703,12.6953125,7.947956562042236,,,,,,,,,,,,,,,,,,,,
44505,0.573718,0.596154,0.50641,0.538462,0.442308,0.387821,dbscan,0.802057,0.347044,0.455013,1.4111627340316772,1.0019737482070923,0.5172207951545715,1.3951936960220337,1.4729423522949219,0.17138689756393433,0.6019013524055481,-0.930932879447937,-0.0172059815376997,-3.115230083465576,3.132366180419922,2.5247654914855957,0.9147156476974487,1.5944173336029053,1.5572047233581543,3.145106315612793,2.040447473526001,2.7208328247070312,1.6321055889129639,1.0957434177398682,-0.05823627486824989,-1.3689987659454346,0.45724180340766907,-2.060420036315918,,,,,,,0.949801504611969,1.781199336051941,1.7246137857437134,3.15818452835083,,,,,,
44677,0.590426,0.617021,0.531915,0.585106,0.534574,0.577128,dbscan,0.94,0.5575,0.3825,-0.07711326330900192,-0.46429118514060974,-0.6828058362007141,0.18792805075645447,-0.9739856123924255,0.060658350586891174,-1.264367699623108,0.2249748259782791,,,8.142282485961914,11.778836250305176,12.40584945678711,6.05933952331543,5.263535022735596,9.629733085632324,6.67854118347168,8.95338249206543,,,,,,,,,,,,,,,,,,,,,,
46543,0.649055,0.704589,0.649055,0.652526,0.649055,0.702275,dbscan,0.775651,0.50015,0.275501,-0.2190380096435547,1.6945862770080566,1.0944924354553223,0.28592848777770996,-1.2175668478012085,0.15217213332653046,0.4164918065071106,-0.04145802557468414,,,0.9295390844345093,2.2408673763275146,1.6972533464431763,1.3285282850265503,1.3794807195663452,0.5845778584480286,0.9358823895454407,1.3754541873931885,,,,,,,,,,,,,,,,,,,,,,
45028,0.60563,0.566822,0.575294,0.641159,0.614922,0.562449,gmm,0.8866,0.500121,0.386479,-0.3904290199279785,-0.029014963656663895,0.6108372807502747,0.42517805099487305,-0.1184329241514206,0.11081624031066895,-1.0536959171295166,1.4031935930252075,,,0.48827096819877625,1.0408965349197388,0.9116815328598022,1.0071220397949219,0.8048529028892517,1.538580060005188,0.4760175049304962,1.2967708110809326,,,,,,,,,,,,,,,,,,,,,,
