dataset_id,LSE_kmeans,LSE_dbscan,LSE_agg,LSE_gmm,LSE_autoenc,LSE_dictlearn,best_method,gt_accuracy,n_instances,n_features,n_classes,skewness_mean,kurtosis_mean,mean_abs_pearson,hopkins,intrinsic_dim_ratio,pca_var_pc1,pca_top3_var,pca_entropy,pairwise_dist_mean,pairwise_dist_cv,pairwise_dist_p90,knn5_dist_mean,knn5_dist_cv,knn5_dist_p90,feature_sparsity,high_corr_frac,corr_dispersion,ae_mean_0,ae_mean_1,ae_mean_2,ae_mean_3,ae_var_0,ae_var_1,ae_var_2,ae_var_3
44073,0.6451,0.5888,0.6082,0.7137,0.7269,0.6856,autoenc,0.8498,10700.0,10.0,2.0,0.9963482869302546,3.696627822029383,0.2780406877584249,0.9999997745957708,0.7,0.4261737464514152,0.6792906054303911,0.7717113142117156,3.947666298329669,0.5184938999367088,6.6532235084871125,0.8931482832779685,0.5877826259594621,1.5970624913625775,0.0073551401869158,0.0666666666666666,0.2739896362559126,-0.35397469997406,0.6495280861854553,0.2571636438369751,0.3188785314559936,1.465326905250549,2.0327258110046387,1.2797974348068235,3.70095419883728
44605,0.3684,0.7158,0.4842,0.2947,0.4105,0.4842,dbscan,0.4398,864.0,100.0,9.0,,,,1.0,0.74,0.0385607585974759,0.0967389193485966,0.9408511107129502,9.2709657287957,1.0472095700331718,24.85300235943764,3.5601413268514057,2.201621200016821,14.731077732562172,0.1,0.0008080808080808,0.0533581870700466,0.2334271520376205,0.3716812431812286,0.0321600697934627,-1.1246299743652344,34.10138702392578,20.74748039245605,38.92523956298828,23.31204605102539
41764,0.8713,0.809,0.8715,0.8603,0.8625,0.8398,agg,0.618,1467.0,1844.0,2.0,,,,,0.7554229934924078,0.0062907314036064,0.008799194035061,0.9986673816751148,54.36859107036695,0.0037139829270827,54.65457380095012,54.185924084786855,0.000114246038804,54.18645415504826,0.1990515860869719,1.7066392976649643e-05,0.0048875011256905,-0.5017516016960144,-0.5249224305152893,0.5617459416389465,0.5284827351570129,0.9387247562408448,1.1631097793579102,1.0111981630325315,0.9155392646789552
41671,0.5752,0.58,,0.7584,0.6126,0.748,gmm,0.3463,16000.0,20.0,5.0,3.282878175233105,18.346919755678883,0.1763790317738566,0.9999999999999832,0.55,0.2544509537800943,0.5260408575420877,0.7517012300308729,5.158378925225985,0.5901026866914395,8.639083650361261,0.8321048093355775,1.1720031239765731,2.2388933039732906,0.00405,0.0631578947368421,0.2373438186523413,-0.8459565043449402,-0.21284981071949,-1.0005548000335691,-0.603542149066925,5.613729000091553,11.596259117126465,9.188555717468262,8.617864608764648
44580,0.8271,0.8271,0.8737,0.8737,0.8737,0.8656,agg,0.3815,1600.0,2465.0,3.0,,,,,0.2515212981744422,0.0062980017273361,0.0153553657009698,0.8750232450073274,39.803568344273714,0.338601804428779,58.28604636146172,27.285113793356395,0.455248505249694,46.03874317664864,0.6478879310344827,1.3171412765733251e-05,0.0091027142010778,0.4027992486953735,0.3502553105354309,0.5148530006408691,0.3408767580986023,0.407448410987854,0.4398024678230285,0.3960199356079101,0.4982032775878906
1566,0.7957,0.7957,0.8236,0.7767,0.7957,0.8297,dictlearn,0.6088,969.0,100.0,2.0,3.078632137475178,9.644209153796163,0.9954751013996778,1.0,0.01,0.9955220783508858,0.9977795458914936,0.008316678585012,7.256533964654775,1.6739380549322505,24.55369425919786,0.415543061960502,2.542145535937107,1.3587841048556366,0.0023839009287925,1.0,0.0026127081447258,-0.0478592701256275,0.0322280041873455,0.1453549861907959,-0.0202414467930793,6.663612365722656,0.9804118275642396,0.0492757335305213,0.193476140499115
4153,0.7143,0.3429,0.6,0.6571,0.6857,0.5714,kmeans,0.9722,144.0,66.0,6.0,0.7301314833460577,2.3045785356336226,0.5948546970493955,1.0,0.1818181818181818,0.6953088151450131,0.8053404377741732,0.3406889772200714,10.333021101242933,0.4949064074652904,16.710577530504423,3.8664048314215984,0.6076850502211957,6.478550180107564,0.0046296296296296,0.5258741258741259,0.3622219852560697,0.4227235019207001,-0.0175999216735363,0.4288405179977417,0.0956760942935943,3.5505192279815674,1.5384641885757446,4.446427345275879,4.399828433990479
44791,1.0054,1.032,1.0054,1.0054,0.9919,1.0027,dbscan,0.4973,1600.0,100.0,2.0,,,,1.0,0.56,0.0432979229271275,0.1087792453346721,0.881132877868423,7.849280850828362,1.1183283711233167,17.37777356712492,2.5292098072700124,2.414830104186015,6.518552895494422,0.35034375,0.001010101010101,0.0368592156724661,0.3201585412025451,-0.0030264058150351,-0.2726762294769287,0.5967447757720947,25.787073135375977,26.808412551879883,24.439775466918945,26.557355880737305
44548,0.6187,0.9867,1.488,0.8987,0.5813,0.696,agg,0.5,1600.0,72.0,2.0,0.7649558714446081,1.823447043406776,0.3559321805320966,1.0,0.2777777777777778,0.4217331390799167,0.6946658548862037,0.5135578997467479,11.237797491576302,0.3460943007599677,16.699143011733327,4.965412985803298,0.2788983286515301,6.679391962042264,0.0289930555555555,0.1486697965571205,0.3017862532695909,0.2947970032691955,0.0197980310767889,-0.736152708530426,0.0073094391264021,2.296588182449341,4.8564863204956055,3.3263700008392334,5.357602596282959
43974,0.5388,,,0.5651,0.5388,0.6967,dictlearn,0.9318,58398.0,50.0,2.0,22.199783771483155,1516.2717966967246,0.8072501973882769,1.0,0.08,0.8652051916885191,0.9335463148431428,0.167104617109472,3.927423726665897,2.767361587222578,5.002351607695192,0.5123740559709313,2.028842432252973,0.7617369085684412,0.03381588410562,0.7355102040816327,0.3084740964714568,-1.4683363437652588,-0.4476886391639709,-0.8929213881492615,0.7520933151245117,5.224883556365967,1.6839443445205688,2.724231481552124,3.692296266555786
14,0.6939,0.1195,0.6268,0.6385,0.6997,0.5219,autoenc,0.8575,1600.0,76.0,10.0,0.5483574558509223,0.4754234642631554,0.1456769254977959,1.0,0.7631578947368421,0.1568214503412857,0.2845835494571578,0.8630664974632613,12.173335724516974,0.1694852787160721,14.769997391040611,7.161689501781114,0.2336773871826583,9.260101407327364,0.0071628289473684,0.0,0.1034364390266921,-0.1963013857603073,-0.5120804309844971,-1.439662218093872,0.3019761145114898,20.912616729736328,11.399571418762209,12.522029876708984,9.047747611999512
1446,1.2115,1.0673,1.1346,1.2115,1.2308,1.0962,autoenc,0.5,236.0,37.0,2.0,3.694132039415343,26.392326414528977,0.5253494704073589,1.0,0.2972972972972973,0.6243375927297202,0.7734476814181449,0.4386355836188871,6.922702187697902,0.7420838810304616,11.875080578504816,3.1078746530891563,0.8913212598327608,4.9225224725874135,0.0098488318827301,0.3153153153153153,0.3384285088279486,-0.5382689237594604,0.3616224825382232,-0.3213005661964416,0.1076717227697372,0.7342901825904846,6.5901360511779785,1.3142168521881104,1.818263053894043
40984,0.5681,0.4296,0.561,0.6948,0.5986,0.3826,gmm,0.9221,1848.0,16.0,7.0,3.960305572093653,48.13570709227936,0.3058478560656764,0.9999999999634576,0.5,0.4585777788019757,0.7348074604113424,0.632227439769758,4.932648786994775,0.6173899714991813,8.24987599982414,0.6041681120136584,1.9032156314169264,1.002159301777236,0.0065273268398268,0.1583333333333333,0.3465538806840053,-0.5829786062240601,0.7377581000328064,0.1768776029348373,-0.3534717857837677,3.1709539890289307,4.923035144805908,4.436222553253174,3.550384283065796
44740,0.4982,0.4982,0.608,0.5473,0.5346,0.4104,agg,0.3488,1600.0,100.0,10.0,0.6189855907699333,0.5763611091114889,0.0768830894892297,0.9999999999896776,0.71,0.090939678970319,0.2100021433589906,0.8712249992290553,14.010476873314232,0.1237998021574084,16.217054211036903,10.118112708617971,0.103327266157965,11.473651391545449,0.0055,0.001010101010101,0.1156593018403196,-0.0672219768166542,0.0602486878633499,-0.3125843405723572,-0.3333728909492492,3.859348773956299,2.959934711456299,2.57633638381958,2.818227767944336
32,0.6915,0.3077,,0.8228,0.6883,0.5732,gmm,0.9891,8793.0,16.0,10.0,0.5097057175059504,1.0249047886379703,0.2714807949825559,0.9999999951809688,0.625,0.2951815792354544,0.6577000882730097,0.7483124492035984,5.4867358962790185,0.2777849932242888,7.431262605663684,0.964106038795361,0.3663040914011709,1.4307232211820495,0.007719208461276,0.0083333333333333,0.2033578824851267,0.8383340835571289,0.2214333713054657,0.2878072559833526,0.2932348251342773,8.642789840698242,8.428756713867188,8.606822967529297,6.644952774047852
