dataset_id,LSE_kmeans,LSE_dbscan,LSE_agg,LSE_gmm,LSE_autoenc,LSE_dictlearn,best_method,gt_accuracy,dl_mean_0,dl_mean_1,dl_mean_2,dl_mean_3,dl_var_0,dl_var_1,dl_var_2,dl_var_3,md1,md2,md3,md4,md5,md6,md7,md8,md9,md10,md11,md12,md13,md14,md15,md16,md17,md18,md19
46840,0.4269,0.223,0.4545,0.4111,0.3691,0.3788,agg,0.927,0.2701114094855305,0.0194177731272357,-0.0722473254063034,0.1879849355505244,1.520043349936306,1.0040851204537051,1.4791962168078254,1.5777005853507815,0.153071726711448,0.0045263414726218,0.0672780905839472,2.474780157035068,19.12271037739851,0.1722392030498065,0.6358534879212938,0.1684922617057678,0.0146850602741342,0.0074903710279612,5.4781897813499946e-05,0.0,0.0,0.0009727298522012,0.0002121042710214,0.7812832729796014,0.1854121424778835,0.0193899824978859,0.0139146020446289
1519,0.3922,0.3922,0.3922,0.3922,0.3922,0.3922,kmeans,0.85,0.3080228947815884,0.5141540027044256,0.3136769797190167,0.2820920173643508,9.348753921268806,7.958635522200534,10.42897864910371,7.897866203703471,0.2394035314936178,0.0460180903334236,0.2145182750569836,0.9456952469855616,-0.0785264976580046,0.3695652173913043,0.1982234689107059,0.091164095371669,0.1054230949041608,0.0881252921926133,0.0698924731182795,0.0413744740532959,0.0275829827021972,0.0065451145395044,0.0021037868162692,0.7166900420757363,0.2318840579710145,0.0490883590462833,0.0023375409069658
756,0.9478,0.619,0.9977,0.9728,0.9728,0.5646,agg,0.9545,0.1027817679919533,0.1414731667421169,0.238196444614382,0.090802942789576,2.540560834405368,1.0501377443481643,1.1827684207749645,0.3033167898301615,0.3523744254074332,0.0182169531549897,0.134970193579878,0.4485168934522697,0.3653492800437043,0.0186226721659792,0.0949881264841894,0.2607174103237095,0.2885889263842019,0.1978502687164104,0.0968628921384826,0.0286214223222097,0.0116235470566179,0.0014998125234345,0.0006249218847644,0.6855393075865517,0.2683414573178352,0.0404949381327334,0.0056242969628796
1477,0.353,0.2621,0.3271,0.422,0.3261,0.3816,gmm,0.9952,-0.0259811839687361,0.0812411777866928,-0.099952881823479,0.3397212306995579,47.47025363991185,7.602243272460914,13.464872760568804,9.539390592141556,0.0438036158386526,0.0012911042635162,0.0359319393230631,8.753981267385067,196.9214610708249,0.9539062212442488,0.0436062412482496,0.0016876175235047,0.0,0.0003999199839967,0.0,0.0,0.0,8.001600320064014e-08,0.0003999199839967,0.8843323864772955,0.0847155831166233,0.0189556311262252,0.0119963992798559
1552,0.6615,0.6235,0.6659,0.6615,0.5928,0.606,agg,0.379,0.2755649239319788,0.0286936352638581,0.285474414781566,0.0467318381322648,0.499513218011959,0.5938285898616701,0.4549465701943995,0.6477560782586609,0.6067525144683233,0.0143083931627562,0.1196176958595854,-0.4400006135130436,0.270127018389346,0.0002094322060192,0.0019443582583514,0.0097036922122246,0.0404953976626331,0.1276372944461681,0.2700253387113455,0.3233865963388148,0.1894585789636984,0.0360792222566966,0.0010600889440479,0.6865006722515254,0.2710104457544731,0.0371470679491157,0.0053418140448857
44683,0.8384,0.6734,0.8215,0.6902,0.8552,0.6801,autoenc,0.7425,-0.0046348665968955,0.0125191126370437,0.1766762644110176,0.1198419851014193,3.542541722274205,2.641654946485823,4.170002083860259,2.819245931337278,0.221827879237877,0.0066255339556959,0.0813973829781763,1.460950831874214,4.326133423930134,0.0172912757973733,0.4398420888055034,0.4001540025015634,0.1087210756722951,0.0253205128205128,0.006478267667292,0.0009263602251407,0.0011436835522201,0.0001180425265791,4.690431519699812e-06,0.7477360850531583,0.2092714196372733,0.0292698561601,0.0137226391494684
44073,0.6451,0.5888,0.6082,0.7137,0.7269,0.6856,autoenc,0.8498,-0.1670808071044231,0.2036513355792514,0.1938096712798731,0.1185149717067863,0.8652743796169382,0.8393709853263719,0.7915814411721519,0.351341776954986,0.213267092154519,0.0112587843271661,0.1061074188130413,1.188393965634249,1.9797933942000412,0.1034008401680336,0.4321400280056011,0.2814082816563312,0.1209341868373674,0.0440296059211842,0.0134015603120624,0.0034630926185237,0.0008308861772354,0.0003620724144828,2.944588917783557e-05,0.7207686337267454,0.2329141828365673,0.0344804960992198,0.0118366873374674
44605,0.3684,0.7158,0.4842,0.2947,0.4105,0.4842,dbscan,0.4398,0.1244743108985267,0.1371224255973515,0.047031591546775,0.0881556259405767,3.065023304985293,2.447444942124834,1.9089306307537777,1.937064440683641,0.1400076915349536,0.021496660402753,0.1466173946118025,1.3457105920151509,1.5282351505350815,0.4919397236170121,0.2525481738981159,0.11552883996395,0.0479619973391699,0.0676553581391356,0.0151012832067293,0.0064535856830178,0.0025401270331745,0.0002548173898115,1.6093729882837647e-05,0.852833569374705,0.0633154156473971,0.0725022531221836,0.0113487618557143
41764,0.8713,0.809,0.8715,0.8603,0.8625,0.8398,agg,0.618,0.1056903529487121,0.1479803938973576,0.0258931671766491,0.0255683339941657,4.23336758658774,1.9891497372545424,0.9828886520379664,0.9583824049457544,0.1147367203904579,0.0158805091707835,0.1260178922644857,1.5886135542370248,2.9875548392988467,0.5882484230143652,0.1985397712847725,0.1193394283142272,0.0571490480428452,0.0233467341076209,0.0081148616539773,0.0029926225994154,0.0016032571042238,0.0005802972349394,8.555664361287107e-05,0.8457943794864927,0.1042870388194671,0.0354278901638688,0.0144906915301712
41671,0.5752,0.58,,0.7584,0.6126,0.748,gmm,0.3463,0.3640726915208347,0.3217949329874205,0.2036990626957898,0.1829190724472164,2.828767203966101,2.8009417877092098,0.7205568315808011,0.5118973474905895,0.1626464235756019,0.0099762697329699,0.0998812781905094,1.7385649422882306,4.988675021108934,0.2716348869773954,0.4532504900980196,0.205234726945389,0.035411802360472,0.0194916583316663,0.008762152430486,0.0053593918783756,0.0008280056011202,2.5125025005001e-05,1.7603520704140828e-06,0.7914878175635127,0.164229325865173,0.0230862172434486,0.0211966393278655
